file_path,side_effect_kind,line_number,snippet,transitive_importer_in_appRouter,severity,notes
packages/orchestrator/src/db/client.ts,env-required-throw + network-socket-open,41,"const e = loadEnv()",trpc/routers/index.ts (via db import),BLOCKER,"loadEnv() called at module top-level; buildLocalDb() runs synchronously (opens postgres TCP) when ORBITAL_DEPLOY_TARGET!=aws; both happen at import time"
packages/orchestrator/src/config/logger.ts,env-required-throw,5,"const e = loadEnv()",trpc/routers/index.ts (via db/client.ts → logger),BLOCKER,"loadEnv() at module top-level; will throw if env schema parse fails; also calls pino() with transport:'pino-pretty' in dev — spawns worker thread"
packages/orchestrator/src/trpc/init.ts,module-level-object-construction,68,"const idempotencyImpl = createIdempotencyMiddleware({ db })",trpc/routers/index.ts (via trpc/init.ts),BLOCKER,"createIdempotencyMiddleware called with the db Proxy at module level; db Proxy itself is imported from db/client.ts which does loadEnv()+postgres() at import"
packages/orchestrator/src/retros/agent-org.ts,child_process + fs-path-resolution,27-70,"import { execFileSync } from 'node:child_process'; this.path = opts.path ?? path.join(getOrbitalHome(), 'agent-org')",trpc/routers/index.ts → retrosRouter() → createAgentOrgRepo(),BLOCKER,"createAgentOrgRepo() is called inside the retrosRouter() factory which is invoked at appRouter construction (line 337 of index.ts); AgentOrgRepo constructor calls getOrbitalHome() → loadEnv(); if HOME/USERPROFILE unset throws; child_process import is module-level"
packages/orchestrator/src/trpc/routers/index.ts,module-level-appRouter-construction,328-366,"export const appRouter = router({ backlog: backlogRouter(), sprint: sprintRouter(), uat: uatRouter(), retro: retrosRouter(), ... })",self (is the appRouter),BLOCKER,"All singleton factory fns are called synchronously at module evaluation; each pulls in db, logger, env"
packages/orchestrator/src/config/env.ts,env-required-throw,242-253,"throw new Error('Invalid environment configuration')",trpc/routers/index.ts (transitive via all imports of loadEnv),BLOCKER,"loadEnv() is called by db/client.ts, logger.ts, etc. at their module top-level; any missing required-but-defaulted field that becomes required will throw at import time"
packages/orchestrator/src/lambda/lambda-trpc-adapter.ts,module-level-router-construction,151,"router: getRouter()",lambda/handlers/all.ts,BLOCKER,"makeHandler(() => appRouter) passes a thunk but awsLambdaRequestHandler calls getRouter() IMMEDIATELY in its constructor; this materializes appRouter and all its side effects at module import time"
packages/orchestrator/src/lambda/handlers/all.ts,transitive-appRouter-import,21-22,"import { appRouter } from '../../trpc/routers/index.js'",self (Lambda entry point),BLOCKER,"Importing appRouter triggers the full appRouter module evaluation including all factory calls"
packages/orchestrator/src/trpc/routers/admin.ts,module-level-const,276,"const PROCESS_STARTED_AT = new Date()",trpc/routers/index.ts → makeAdminRouter(),RISK,"new Date() is benign but PROCESS_STARTED_AT is computed at import/module-eval time"
packages/orchestrator/src/config/install.ts,fs-read + getOrbitalHome,22-26,"const configDir = path.join(getOrbitalHome(), 'config'); fs.readFile(configPath, ...)",trpc/routers/index.ts → channels.ts / audit-export.ts → loadOrCreateInstall,RISK,"getInstallId() / loadOrCreateInstall() are async and only called lazily inside procedure bodies"
